end,dengue haemorrhagic fever,chikungunya fever,zika virus infection,dengue_fever_gt,insect_repellent_gt,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2012-01-21,0.125,0.02040816326530612,0.0,0.0,0.0,7.428571428571429,26.2,26.2,26.2,25.914285714285715,30.9,23.8
2012-01-28,0.25,0.0,0.0,0.0,0.0,3.4857142857142853,26.2,26.2,26.2,26.97142857142857,32.5,22.1
2012-02-04,0.125,0.0,0.0,0.0,0.79,1.3714285714285714,26.2,26.2,26.2,26.557142857142857,31.6,23.5
2012-02-11,0.0,0.0,0.0,0.33,0.0,8.32857142857143,26.2,26.2,26.2,26.414285714285715,31.6,21.5
2012-02-18,0.0,0.0,0.0,0.0,0.0,0.0,38.4,38.4,38.4,27.414285714285715,32.3,24.4
2012-02-25,0.125,0.02040816326530612,0.0,0.0,0.0,5.685714285714285,38.4,38.4,38.4,26.957142857142856,31.9,23.0
2012-03-03,0.0,0.02040816326530612,0.0,0.0,0.0,0.3714285714285714,38.4,38.4,38.4,27.428571428571427,32.6,22.7
2012-03-10,0.125,0.04081632653061224,0.0,0.0,0.0,3.8285714285714287,38.4,38.4,38.4,27.142857142857142,33.2,23.8
2012-03-17,0.0,0.0,0.0,0.0,0.72,6.057142857142857,92.3,92.3,92.3,27.11428571428572,32.4,21.1
2012-03-24,0.125,0.0,0.0,0.0,0.43,16.02857142857143,92.3,92.3,92.3,26.61428571428572,32.1,22.7
2012-03-31,0.0,0.0,0.0,0.0,0.0,4.314285714285715,92.3,92.3,92.3,27.428571428571427,32.4,23.6
2012-04-07,0.0,0.0,0.0,0.0,0.75,14.628571428571428,92.3,92.3,92.3,27.057142857142857,32.8,22.9
2012-04-14,0.125,0.02040816326530612,0.0,0.0,0.0,7.971428571428571,48.4,48.4,48.4,27.342857142857145,32.3,21.9
2012-04-21,0.0,0.02040816326530612,0.0,0.0,0.0,15.142857142857142,48.4,48.4,48.4,27.285714285714285,31.9,23.3
2012-04-28,0.0,0.0,0.0,1.0,0.4,12.485714285714286,48.4,48.4,48.4,27.442857142857143,32.7,23.7
2012-05-05,0.25,0.0,0.0,0.0,0.0,1.2857142857142858,48.4,48.4,48.4,28.15714285714285,32.9,23.9
2012-05-12,0.125,0.02040816326530612,0.0,0.0,0.0,12.114285714285714,48.4,48.4,48.4,28.0,32.5,22.0
2012-05-19,0.0,0.0,0.0,0.0,0.0,11.771428571428572,79.2,79.2,79.2,27.714285714285715,33.7,22.1
2012-05-26,0.0,0.0,0.0,0.0,0.36,6.628571428571428,79.2,79.2,79.2,28.542857142857144,33.7,22.9
2012-06-02,0.0,0.0,0.0,0.0,0.0,6.6000000000000005,79.2,79.2,79.2,28.571428571428573,32.1,23.5
2012-06-09,0.125,0.0,0.0,0.0,0.0,4.971428571428571,79.2,79.2,79.2,28.0,32.3,22.8
2012-06-16,0.125,0.0,0.0,0.47000000000000003,0.0,5.971428571428572,38.2,38.2,38.2,28.457142857142856,32.7,22.8
2012-06-23,0.125,0.0,0.0,0.0,0.0,0.0,38.2,38.2,38.2,29.142857142857142,32.5,25.6
2012-06-30,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,38.2,38.2,38.2,28.87142857142857,32.6,25.5
2012-07-07,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,38.2,38.2,38.2,28.6,32.5,24.9
2012-07-14,0.125,0.0,0.0,0.0,0.67,9.6,35.4,35.4,35.4,27.428571428571427,31.6,22.9
2012-07-21,0.125,0.0,0.0,0.0,0.0,5.0,35.4,35.4,35.4,27.4,31.0,23.4
2012-07-28,0.0,0.0,0.0,0.0,0.0,4.057142857142858,35.4,35.4,35.4,27.17142857142857,31.3,23.8
2012-08-04,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,35.4,35.4,35.4,28.61428571428572,32.1,25.4
2012-08-11,0.0,0.0,0.0,0.4,0.0,3.2,35.4,35.4,35.4,28.24285714285714,31.5,23.1
2012-08-18,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,31.0,31.0,31.0,28.37142857142857,32.3,24.8
2012-08-25,0.0,0.0,0.0,0.0,0.0,4.4,31.0,31.0,31.0,28.3,32.7,23.5
2012-09-01,0.0,0.0,0.0,0.0,0.0,4.428571428571429,31.0,31.0,31.0,28.071428571428573,32.1,24.4
2012-09-08,0.125,0.0,0.0,0.0,0.0,4.799999999999999,31.0,31.0,31.0,27.2,31.7,23.4
2012-09-15,0.125,0.0,0.0,0.0,0.0,6.6,35.8,35.8,35.8,27.585714285714285,32.1,22.5
2012-09-22,0.0,0.0,0.0,0.0,0.0,3.2,35.8,35.8,35.8,27.685714285714287,31.5,24.1
2012-09-29,0.125,0.0,0.0,0.0,0.0,0.0,35.8,35.8,35.8,28.4,32.6,25.5
2012-10-06,0.125,0.02040816326530612,0.0,0.0,0.0,5.171428571428571,35.8,35.8,35.8,27.942857142857143,32.7,22.9
2012-10-13,0.125,0.02040816326530612,0.0,0.0,0.0,2.0,35.8,35.8,35.8,28.228571428571428,32.8,24.2
2012-10-20,0.0,0.04081632653061224,0.0,0.0,0.0,3.371428571428571,22.6,22.6,22.6,27.685714285714287,32.6,24.0
2012-10-27,0.0,0.02040816326530612,0.0,0.0,0.0,9.885714285714286,22.6,22.6,22.6,26.82857142857143,32.4,23.5
2012-11-03,0.0,0.02040816326530612,0.0,0.0,0.0,1.3714285714285714,22.6,22.6,22.6,28.1,32.9,24.6
2012-11-10,0.125,0.0,0.0,0.0,0.0,2.3428571428571425,22.6,22.6,22.6,27.385714285714283,33.1,23.7
2012-11-17,0.125,0.02040816326530612,0.0,0.0,0.0,6.914285714285716,49.2,49.2,49.2,27.02857142857143,32.8,23.5
2012-11-24,0.125,0.0,0.0,0.0,0.0,4.6000000000000005,49.2,49.2,49.2,27.15714285714285,32.6,24.0
2012-12-01,0.0,0.0,0.0,0.24,0.27,9.114285714285716,49.2,49.2,49.2,27.185714285714287,32.7,24.1
2012-12-08,0.0,0.061224489795918366,0.0,0.0,0.0,8.114285714285716,49.2,49.2,49.2,27.27142857142857,32.2,23.4
2012-12-15,0.125,0.0,0.0,0.0,0.0,10.05714285714286,78.8,78.8,78.8,27.11428571428572,32.2,22.7
2012-12-22,0.25,0.061224489795918366,0.0,0.0,0.0,18.17142857142857,78.8,78.8,78.8,26.557142857142857,31.9,22.3
2012-12-29,0.125,0.0,0.0,0.0,0.0,10.857142857142858,78.8,78.8,78.8,26.47142857142857,31.6,23.3
2013-01-05,0.25,0.0,0.0,0.75,0.0,0.8857142857142856,78.8,78.8,78.8,26.7,31.3,24.1
2013-01-12,0.125,0.02040816326530612,0.0,0.16,0.0,41.4,78.8,78.8,78.8,26.25,31.3,22.2
2013-01-19,0.0,0.02040816326530612,0.0,0.0,0.0,2.56,73.0,73.0,73.0,27.1,32.0,23.1
2013-01-26,0.375,0.02040816326530612,0.0,0.0,0.0,9.085714285714284,73.0,73.0,73.0,27.485714285714288,35.2,21.6
2013-02-02,0.125,0.0,0.0,0.0,0.0,23.914285714285715,73.0,73.0,73.0,26.685714285714287,32.0,22.6
2013-02-09,0.0,0.04081632653061224,0.0,0.0,0.0,2.6,73.0,73.0,73.0,26.571428571428573,31.1,23.6
2013-02-16,0.125,0.0,0.0,0.0,0.0,0.0,73.0,73.0,73.0,27.714285714285715,32.1,24.7
2013-02-23,0.25,0.0,0.0,0.0,0.0,9.971428571428572,95.2,95.2,95.2,26.428571428571427,31.3,24.0
2013-03-02,0.25,0.04081632653061224,0.0,0.29,0.0,28.4,95.2,95.2,95.2,25.65714285714285,30.7,21.5
2013-03-09,0.125,0.2857142857142857,0.0,0.0,0.22,2.914285714285714,95.2,95.2,95.2,26.65714285714285,32.5,24.1
2013-03-16,0.125,0.02040816326530612,0.0,0.0,0.36,18.4,95.2,95.2,95.2,27.37142857142857,32.9,23.0
2013-03-23,0.25,0.061224489795918366,0.0,0.29,0.0,0.2285714285714286,29.6,29.6,29.6,27.97142857142857,32.1,24.4
2013-03-30,0.25,0.061224489795918366,0.0,0.0,0.0,0.3999999999999999,29.6,29.6,29.6,28.15714285714285,33.5,24.3
2013-04-06,0.5,0.12244897959183673,0.0,0.22,0.0,5.914285714285716,29.6,29.6,29.6,28.4,33.1,24.8
2013-04-13,0.125,0.2857142857142857,0.0,0.5700000000000001,0.0,1.7714285714285711,29.6,29.6,29.6,28.6,33.8,23.9
2013-04-20,0.5,0.7142857142857142,0.0,0.0,0.0,11.8,29.6,29.6,29.6,28.37142857142857,34.0,23.4
2013-04-27,0.25,0.4897959183673469,0.0,0.22,0.34,2.371428571428571,41.6,41.6,41.6,28.457142857142856,33.6,24.9
2013-05-04,0.0,0.3877551020408163,0.0,0.0,0.0,3.857142857142857,41.6,41.6,41.6,28.37142857142857,34.9,22.1
2013-05-11,0.25,0.5918367346938775,0.0,0.0,0.0,3.085714285714286,41.6,41.6,41.6,27.885714285714283,33.4,24.0
2013-05-18,0.0,0.5714285714285714,0.0,0.17,0.0,2.4285714285714284,41.6,41.6,41.6,28.24285714285714,33.1,24.0
2013-05-25,0.375,0.3061224489795918,0.0,0.64,0.0,14.628571428571428,46.2,46.2,46.2,27.67142857142857,32.6,23.5
2013-06-01,0.5,0.6326530612244897,0.0,0.0,0.0,6.857142857142857,46.2,46.2,46.2,28.8,33.9,22.9
2013-06-08,0.125,0.8163265306122448,0.0,0.52,0.0,1.2,46.2,46.2,46.2,28.5,33.4,25.2
2013-06-15,0.5,0.7959183673469387,0.0,0.0,0.0,10.657142857142857,46.2,46.2,46.2,27.5,33.1,22.6
2013-06-22,0.5,0.9183673469387754,0.0,0.56,0.0,6.485714285714286,22.4,22.4,22.4,27.957142857142856,33.7,22.9
2013-06-29,0.5,0.4897959183673469,0.0,0.24,0.0,2.542857142857143,22.4,22.4,22.4,29.342857142857145,33.6,24.8
2013-07-06,0.25,0.5306122448979591,0.0,0.0,1.0,2.314285714285714,22.4,22.4,22.4,29.985714285714288,34.5,25.8
2013-07-13,0.125,0.5306122448979591,0.0,0.0,0.0,1.0285714285714287,22.4,22.4,22.4,29.071428571428573,33.7,23.0
2013-07-20,0.125,0.32653061224489793,0.0,0.0,0.39,1.0285714285714287,22.4,22.4,22.4,27.842857142857145,32.4,23.8
2013-07-27,0.125,0.4081632653061224,0.0,0.0,0.0,6.285714285714286,37.4,37.4,37.4,27.77142857142857,32.4,23.4
2013-08-03,0.125,0.44897959183673464,0.0,0.0,0.0,7.171428571428572,37.4,37.4,37.4,27.385714285714283,31.9,23.7
2013-08-10,0.125,0.14285714285714285,0.0,0.62,0.0,8.142857142857142,37.4,37.4,37.4,27.985714285714288,33.5,22.9
2013-08-17,0.0,0.5306122448979591,0.0,0.0,0.0,3.828571428571428,37.4,37.4,37.4,27.75714285714286,31.8,22.0
2013-08-24,0.375,0.3061224489795918,0.0,0.0,0.56,15.114285714285716,43.2,43.2,43.2,27.557142857142857,31.3,23.2
2013-08-31,0.5,0.7755102040816326,0.0,0.0,0.0,4.342857142857143,43.2,43.2,43.2,27.61428571428572,31.5,21.6
2013-09-07,0.375,0.8571428571428571,0.0,0.0,0.0,1.5142857142857142,43.2,43.2,43.2,28.25714285714286,32.0,23.9
2013-09-14,0.25,0.7959183673469387,0.0,0.0,0.0,1.5142857142857142,43.2,43.2,43.2,28.25714285714286,32.8,24.6
2013-09-21,0.75,0.9999999999999999,0.0,0.0,0.0,15.085714285714284,52.6,52.6,52.6,26.585714285714285,32.0,22.2
2013-09-28,0.5,0.6530612244897959,0.0,0.0,0.0,1.7714285714285716,52.6,52.6,52.6,27.32857142857143,32.0,21.9
2013-10-05,0.25,0.3469387755102041,0.0,0.36,0.0,7.142857142857143,52.6,52.6,52.6,27.985714285714288,32.2,22.8
2013-10-12,0.375,0.4693877551020408,0.0,0.0,0.0,12.342857142857143,52.6,52.6,52.6,28.285714285714285,32.9,21.9
2013-10-19,0.375,0.32653061224489793,0.0,0.0,0.49,4.142857142857143,52.6,52.6,52.6,27.728571428571428,32.3,22.2
2013-10-26,0.0,0.42857142857142855,0.0,0.0,0.87,4.314285714285715,139.8,139.8,139.8,28.214285714285715,33.2,23.0
2013-11-02,0.125,0.44897959183673464,0.0,0.0,0.0,25.48571428571429,139.8,139.8,139.8,28.014285714285712,32.7,20.9
2013-11-09,0.125,0.6326530612244897,0.0,0.0,0.5,5.4,139.8,139.8,139.8,27.27142857142857,32.6,23.3
2013-11-16,0.25,0.4693877551020408,0.0,0.0,0.0,10.085714285714284,139.8,139.8,139.8,27.0,32.3,24.1
2013-11-23,0.0,0.7346938775510203,0.0,0.0,0.26,12.742857142857144,44.0,44.0,44.0,27.185714285714287,32.6,23.2
2013-11-30,0.0,0.5510204081632653,0.0,0.0,0.0,6.314285714285715,44.0,44.0,44.0,26.857142857142858,32.7,23.2
2013-12-07,0.0,0.6530612244897959,0.0,0.0,0.0,2.1142857142857143,44.0,44.0,44.0,27.585714285714285,32.9,22.9
2013-12-14,0.125,0.4693877551020408,0.0,0.0,0.0,12.314285714285717,44.0,44.0,44.0,27.057142857142857,32.8,23.4
2013-12-21,0.0,0.673469387755102,0.0,0.0,0.0,23.62857142857143,119.8,119.8,119.8,25.82857142857143,31.1,22.7
2013-12-28,0.0,0.4081632653061224,0.0,0.38,0.0,8.628571428571428,119.8,119.8,119.8,26.857142857142858,32.0,23.1
2014-01-04,0.125,0.3877551020408163,0.0,0.37,0.27,14.400000000000002,119.8,119.8,119.8,26.571428571428573,33.7,21.2
2014-01-11,0.0,0.5918367346938775,0.0,0.0,0.31,0.8285714285714285,119.8,119.8,119.8,26.7,31.1,23.9
2014-01-18,0.0,0.4081632653061224,0.0,0.0,0.24,5.266666666666667,119.8,119.8,119.8,26.366666666666664,29.7,24.8
2014-01-25,0.0,0.3469387755102041,0.0,0.0,1.0,0.0,119.8,119.8,119.8,27.075,31.1,24.9
2014-02-01,0.0,0.26530612244897955,0.0,0.0,0.0,8.17142857142857,10.0,10.8,15.4,26.17142857142857,31.8,23.3
2014-02-08,0.125,0.18367346938775508,0.0,0.0,0.0,2.6,18.2,18.2,18.2,26.27142857142857,30.3,23.7
2014-02-15,0.0,0.18367346938775508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75714285714286,29.4,23.2
2014-02-22,0.125,0.24489795918367346,0.0,0.0,0.36,0.0,0.0,0.0,0.0,26.071428571428573,31.6,22.4
2014-03-01,0.125,0.061224489795918366,0.0,0.39,0.0,0.0285714285714285,0.2,0.2,0.2,26.3,31.6,22.7
2014-03-08,0.125,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.67142857142857,33.8,24.7
2014-03-15,0.125,0.1020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75714285714286,32.6,24.9
2014-03-22,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.428571428571427,32.7,24.0
2014-03-29,0.0,0.02040816326530612,0.0,0.11,0.0,0.0,0.0,0.0,0.0,27.714285714285715,33.8,23.8
2014-04-05,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,34.1,24.2
2014-04-12,0.125,0.02040816326530612,0.0,0.19,0.0,9.37142857142857,20.4,26.2,37.8,27.15714285714285,33.6,23.6
2014-04-19,0.0,0.04081632653061224,0.0,0.0,0.23,0.0571428571428571,0.4,0.4,0.4,28.5,34.4,24.2
2014-04-26,0.0,0.04081632653061224,0.0,0.0,0.0,3.628571428571429,15.2,17.2,17.4,28.385714285714283,34.2,22.8
2014-05-03,0.0,0.02040816326530612,0.0,0.0,0.0,4.2,9.8,10.0,10.0,27.728571428571428,34.5,23.9
2014-05-10,0.0,0.02040816326530612,0.0,0.0,0.0,4.142857142857143,21.2,26.4,28.8,28.514285714285712,33.5,23.5
2014-05-17,0.0,0.08163265306122448,0.0,0.0,0.0,1.085714285714286,2.0,3.2,5.0,28.27142857142857,34.4,24.7
2014-05-24,0.125,0.02040816326530612,0.0,0.0,0.15,2.7142857142857144,8.2,10.2,13.4,28.74285714285714,33.7,24.5
2014-05-31,0.0,0.02040816326530612,0.0,0.46,0.2,4.571428571428571,10.0,13.6,14.6,29.0,33.8,24.3
2014-06-07,0.125,0.061224489795918366,0.0,0.0,0.0,4.914285714285714,18.2,20.2,20.2,28.785714285714285,33.6,23.0
2014-06-14,0.0,0.061224489795918366,0.0,0.16,0.0,5.4,9.4,13.4,16.4,27.61428571428572,32.6,23.2
2014-06-21,0.125,0.04081632653061224,0.0,0.0,0.0,3.0285714285714285,7.8,10.4,13.0,28.61428571428572,32.7,25.0
2014-06-28,0.0,0.02040816326530612,0.0,0.0,0.0,5.371428571428572,17.2,17.2,17.2,28.185714285714287,32.2,24.2
2014-07-05,0.375,0.02040816326530612,0.0,0.15,0.0,3.542857142857143,16.4,18.4,18.6,29.24285714285714,33.0,23.0
2014-07-12,0.125,0.04081632653061224,0.0,0.18,0.0,0.7999999999999999,2.4,3.0,3.2,29.814285714285717,33.6,23.9
2014-07-19,0.25,0.0,0.0,0.0,0.0,0.1428571428571428,0.8,1.0,1.0,29.085714285714285,33.4,25.2
2014-07-26,0.125,0.04081632653061224,0.0,0.0,0.0,3.257142857142857,18.0,19.0,19.0,28.32857142857143,32.6,23.9
2014-08-02,0.0,0.02040816326530612,0.0,0.0,0.0,8.285714285714286,24.6,25.6,26.4,28.12857142857143,32.1,22.6
2014-08-09,0.0,0.0,0.0,0.24,0.0,1.2,7.6,7.8,7.8,29.11428571428572,32.5,23.4
2014-08-16,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62857142857143,33.2,26.7
2014-08-23,0.0,0.0,0.0,0.0,0.41000000000000003,10.514285714285714,18.4,27.0,27.6,28.214285714285715,32.0,21.1
2014-08-30,0.0,0.04081632653061224,0.0,0.0,0.22,2.8857142857142857,9.2,9.2,9.2,27.857142857142858,31.7,23.6
2014-09-06,0.0,0.02040816326530612,0.0,0.0,0.0,6.514285714285714,33.6,37.8,39.8,27.24285714285714,31.6,23.5
2014-09-13,0.0,0.0,0.0,0.0,0.0,3.542857142857143,9.8,10.2,10.2,28.27142857142857,31.9,24.7
2014-09-20,0.125,0.0,0.0,0.0,0.0,19.714285714285715,36.4,41.4,42.4,26.928571428571427,31.6,22.0
2014-09-27,0.125,0.02040816326530612,0.0,0.0,0.0,1.4,5.4,8.6,9.2,28.1,32.5,23.4
2014-10-04,0.0,0.02040816326530612,0.0,0.2,0.0,0.9142857142857144,3.2,3.2,3.2,28.342857142857135,32.0,24.9
2014-10-11,0.0,0.0,0.0,0.0,0.0,4.514285714285714,29.8,31.4,31.4,29.014285714285712,32.9,22.4
2014-10-18,0.0,0.02040816326530612,0.0,0.0,0.0,5.2,13.0,14.4,16.4,28.285714285714285,33.2,23.3
2014-10-25,0.0,0.02040816326530612,0.0,0.0,0.0,0.9428571428571428,5.0,6.0,6.6,28.75714285714286,32.6,24.1
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.814285714285717,32.6,25.2
2014-11-08,0.125,0.0,0.0,0.0,0.0,5.4,15.2,18.0,24.0,28.32857142857143,34.1,24.2
2014-11-15,0.0,0.0,0.0,0.41000000000000003,0.18,1.5142857142857142,2.4,4.0,5.4,27.957142857142856,33.2,24.8
2014-11-22,0.0,0.02040816326530612,0.0,0.0,0.0,9.914285714285713,21.0,28.2,28.2,28.342857142857145,33.5,24.0
2014-11-29,0.0,0.02040816326530612,0.0,0.19,0.0,13.4,19.8,20.2,20.4,28.014285714285712,33.4,22.8
2014-12-06,0.0,0.02040816326530612,0.0,0.0,0.0,12.771428571428572,43.6,60.4,63.0,27.17142857142857,32.8,22.2
2014-12-13,0.0,0.02040816326530612,0.0,0.0,0.0,2.5142857142857147,6.2,7.8,8.0,27.02857142857143,32.3,24.5
2014-12-20,0.0,0.0,0.0,0.0,0.0,6.514285714285714,32.2,38.4,38.4,27.6,32.7,23.7
2014-12-27,0.0,0.0,0.0,0.0,0.0,10.37142857142857,22.2,26.6,27.2,27.37142857142857,33.5,22.4
2015-01-03,0.0,0.0,0.0,0.0,0.0,5.028571428571429,27.8,28.4,28.6,27.914285714285715,33.6,23.8
2015-01-10,0.125,0.04081632653061224,0.0,0.0,0.26,5.514285714285714,16.4,17.2,17.6,27.12857142857143,32.4,24.0
2015-01-17,0.0,0.02040816326530612,0.0,0.0,0.0,13.714285714285714,25.2,29.2,34.4,26.571428571428573,31.4,23.7
2015-01-24,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.8,1.8,25.95,29.9,24.2
2015-01-31,0.0,0.02040816326530612,0.0,0.0,0.66,0.1999999999999999,0.6,0.6,0.6,26.566666666666663,30.7,24.5
2015-02-07,0.0,0.04081632653061224,0.0,0.0,0.53,11.285714285714286,26.6,28.2,33.6,26.428571428571427,32.4,23.3
2015-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12857142857143,31.5,24.0
2015-02-21,0.125,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.942857142857143,30.9,23.9
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.071428571428573,31.8,24.0
2015-03-07,0.125,0.0,0.0,0.34,0.0,2.1142857142857143,6.4,8.2,10.8,26.25714285714286,31.2,23.6
2015-03-14,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,26.65714285714285,31.1,23.3
2015-03-21,0.0,0.02040816326530612,0.0,0.0,0.0,0.5714285714285714,2.6,2.6,3.6,27.285714285714285,32.4,23.1
2015-03-28,0.125,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,27.7,33.6,24.5
2015-04-04,0.125,0.02040816326530612,0.0,0.0,0.34,2.0,11.8,13.0,14.0,28.1,34.4,23.4
2015-04-11,0.0,0.0,0.0,0.0,0.0,6.571428571428571,23.6,25.2,29.8,27.685714285714287,33.7,23.7
2015-04-18,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.342857142857145,33.4,25.7
2015-04-25,0.0,0.04081632653061224,0.0,0.3,0.65,0.9142857142857144,6.4,6.4,6.4,28.62857142857143,33.1,23.6
2015-05-02,0.0,0.0,0.0,0.51,0.0,6.171428571428572,12.4,13.4,13.6,27.728571428571428,33.4,24.5
2015-05-09,0.0,0.02040816326530612,0.0,0.0,0.0,1.6857142857142855,8.6,8.8,8.8,28.74285714285714,33.7,25.1
2015-05-16,0.125,0.0,0.0,0.0,0.0,0.0857142857142857,0.6,0.6,0.6,29.31428571428572,34.4,25.9
2015-05-23,0.0,0.0,0.0,0.38,0.0,1.8571428571428568,4.2,6.4,8.2,28.685714285714287,34.1,24.0
2015-05-30,0.25,0.04081632653061224,0.0,0.0,0.0,5.571428571428571,13.2,16.2,16.4,27.985714285714288,33.3,24.0
2015-06-06,0.125,0.02040816326530612,0.0,1.0,0.0,4.771428571428571,9.2,11.6,18.0,28.24285714285714,33.2,24.0
2015-06-13,0.125,0.0,0.0,0.41000000000000003,0.0,4.2,16.4,16.6,16.6,28.957142857142856,34.2,24.9
2015-06-20,0.0,0.02040816326530612,0.0,0.0,0.0,1.1142857142857143,1.8,2.8,4.4,28.785714285714285,33.0,25.3
2015-06-27,0.0,0.0,0.0,0.0,0.33,0.2857142857142857,1.0,1.4,1.4,29.071428571428573,34.2,25.4
2015-07-04,0.0,0.0,0.0,0.0,0.25,2.4,7.6,9.2,12.8,29.214285714285715,34.3,24.9
2015-07-11,0.0,0.0,0.0,0.0,0.0,6.942857142857142,17.2,18.6,19.4,28.15714285714285,32.5,24.7
2015-07-18,0.0,0.02040816326530612,0.0,0.0,0.0,2.5142857142857147,5.2,8.6,9.2,28.47142857142857,32.4,24.2
2015-07-25,0.0,0.061224489795918366,0.0,0.0,0.33,0.0,0.0,0.0,0.0,29.97142857142857,33.2,28.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,5.971428571428571,15.4,20.4,22.2,29.057142857142857,32.8,22.1
2015-08-08,0.0,0.061224489795918366,0.0,0.0,0.21,4.857142857142857,17.4,19.8,20.0,29.11428571428572,32.4,23.6
2015-08-15,0.0,0.02040816326530612,0.0,0.38,0.0,6.771428571428571,41.6,45.0,45.6,29.228571428571428,32.6,24.2
2015-08-22,0.0,0.04081632653061224,0.0,0.0,0.0,0.0857142857142857,0.4,0.4,0.4,29.442857142857143,32.7,26.4
2015-08-29,0.0,0.0,0.0,0.0,0.0,1.0571428571428572,2.8,2.8,2.8,28.32857142857143,32.7,24.1
2015-09-05,0.0,0.0,0.0,0.0,0.28,11.771428571428572,26.6,28.0,28.2,27.585714285714285,32.1,22.6
2015-09-12,0.0,0.02040816326530612,0.0,0.0,0.15,11.2,29.4,47.8,57.6,28.242857142857144,32.3,22.7
2015-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.885714285714283,32.7,26.2
2015-09-26,0.0,0.02040816326530612,0.0,0.0,0.0,3.1714285714285717,19.0,22.2,22.2,28.928571428571427,33.1,24.4
2015-10-03,0.0,0.061224489795918366,0.0,0.0,0.0,0.2285714285714286,1.2,1.2,1.2,29.2,33.2,25.9
