date,station,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2012-01-07,Changi,0.34285714285714286,6.55,6.55,6.55,27.314285714285713,31.4,24.5
2012-01-14,Changi,7.428571428571429,6.55,6.55,6.55,25.914285714285715,30.9,23.8
2012-01-21,Changi,3.4857142857142853,6.55,6.55,6.55,26.97142857142857,32.5,22.1
2012-01-28,Changi,1.3714285714285714,6.55,6.55,6.55,26.557142857142857,31.6,23.5
2012-02-04,Changi,8.32857142857143,6.55,6.55,6.55,26.414285714285715,31.6,21.5
2012-02-11,Changi,0.0,9.6,9.6,9.6,27.414285714285715,32.3,24.4
2012-02-18,Changi,5.685714285714285,9.6,9.6,9.6,26.957142857142856,31.9,23.0
2012-02-25,Changi,0.37142857142857144,9.6,9.6,9.6,27.428571428571427,32.6,22.7
2012-03-03,Changi,3.8285714285714287,9.6,9.6,9.6,27.142857142857142,33.2,23.8
2012-03-10,Changi,6.057142857142857,23.075,23.075,23.075,27.114285714285717,32.4,21.1
2012-03-17,Changi,16.02857142857143,23.075,23.075,23.075,26.614285714285717,32.1,22.7
2012-03-24,Changi,4.314285714285715,23.075,23.075,23.075,27.428571428571427,32.4,23.6
2012-03-31,Changi,14.628571428571428,23.075,23.075,23.075,27.057142857142857,32.8,22.9
2012-04-07,Changi,7.971428571428571,12.1,12.1,12.1,27.342857142857145,32.3,21.9
2012-04-14,Changi,15.142857142857142,12.1,12.1,12.1,27.285714285714285,31.9,23.3
2012-04-21,Changi,12.485714285714286,12.1,12.1,12.1,27.442857142857143,32.7,23.7
2012-04-28,Changi,1.2857142857142858,12.1,12.1,12.1,28.157142857142855,32.9,23.9
2012-05-05,Changi,12.114285714285714,12.1,12.1,12.1,28.0,32.5,22.0
2012-05-12,Changi,11.771428571428572,19.8,19.8,19.8,27.714285714285715,33.7,22.1
2012-05-19,Changi,6.628571428571428,19.8,19.8,19.8,28.542857142857144,33.7,22.9
2012-05-26,Changi,6.6000000000000005,19.8,19.8,19.8,28.571428571428573,32.1,23.5
2012-06-02,Changi,4.971428571428571,19.8,19.8,19.8,28.0,32.3,22.8
2012-06-09,Changi,5.971428571428572,9.55,9.55,9.55,28.457142857142856,32.7,22.8
2012-06-16,Changi,0.0,9.55,9.55,9.55,29.142857142857142,32.5,25.6
2012-06-23,Changi,0.14285714285714285,9.55,9.55,9.55,28.87142857142857,32.6,25.5
2012-06-30,Changi,1.4285714285714286,9.55,9.55,9.55,28.599999999999998,32.5,24.9
2012-07-07,Changi,9.6,8.85,8.85,8.85,27.428571428571427,31.6,22.9
2012-07-14,Changi,5.0,8.85,8.85,8.85,27.4,31.0,23.4
2012-07-21,Changi,4.057142857142858,8.85,8.85,8.85,27.17142857142857,31.3,23.8
2012-07-28,Changi,0.0,8.85,8.85,8.85,28.614285714285717,32.1,25.4
2012-08-04,Changi,3.1999999999999997,8.85,8.85,8.85,28.24285714285714,31.5,23.1
2012-08-11,Changi,0.19999999999999998,7.75,7.75,7.75,28.37142857142857,32.3,24.8
2012-08-18,Changi,4.4,7.75,7.75,7.75,28.3,32.7,23.5
2012-08-25,Changi,4.428571428571429,7.75,7.75,7.75,28.071428571428573,32.1,24.4
2012-09-01,Changi,4.799999999999999,7.75,7.75,7.75,27.2,31.7,23.4
2012-09-08,Changi,6.6,8.95,8.95,8.95,27.585714285714285,32.1,22.5
2012-09-15,Changi,3.2,8.95,8.95,8.95,27.685714285714287,31.5,24.1
2012-09-22,Changi,0.0,8.95,8.95,8.95,28.400000000000002,32.6,25.5
2012-09-29,Changi,5.171428571428571,8.95,8.95,8.95,27.942857142857143,32.7,22.9
2012-10-06,Changi,2.0,8.95,8.95,8.95,28.228571428571428,32.8,24.2
2012-10-13,Changi,3.371428571428571,5.65,5.65,5.65,27.685714285714287,32.6,24.0
2012-10-20,Changi,9.885714285714286,5.65,5.65,5.65,26.82857142857143,32.4,23.5
2012-10-27,Changi,1.3714285714285714,5.65,5.65,5.65,28.099999999999998,32.9,24.6
2012-11-03,Changi,2.3428571428571425,5.65,5.65,5.65,27.385714285714283,33.1,23.7
2012-11-10,Changi,6.9142857142857155,12.3,12.3,12.3,27.02857142857143,32.8,23.5
2012-11-17,Changi,4.6000000000000005,12.3,12.3,12.3,27.157142857142855,32.6,24.0
2012-11-24,Changi,9.114285714285716,12.3,12.3,12.3,27.185714285714287,32.7,24.1
2012-12-01,Changi,8.114285714285716,12.3,12.3,12.3,27.271428571428572,32.2,23.4
2012-12-08,Changi,10.057142857142859,19.7,19.7,19.7,27.114285714285717,32.2,22.7
2012-12-15,Changi,18.17142857142857,19.7,19.7,19.7,26.557142857142857,31.9,22.3
2012-12-22,Changi,10.857142857142858,19.7,19.7,19.7,26.47142857142857,31.6,23.3
2012-12-29,Changi,0.8857142857142856,19.7,19.7,19.7,26.7,31.3,24.1
2013-01-05,Changi,41.4,19.7,19.7,19.7,26.25,31.3,22.2
2013-01-12,Changi,9.085714285714285,18.25,18.25,18.25,27.485714285714288,35.2,21.6
2013-01-19,Changi,23.914285714285715,18.25,18.25,18.25,26.685714285714287,32.0,22.6
2013-01-26,Changi,2.6,18.25,18.25,18.25,26.571428571428573,31.1,23.6
2013-02-02,Changi,0.0,18.25,18.25,18.25,27.714285714285715,32.1,24.7
2013-02-09,Changi,9.971428571428572,23.8,23.8,23.8,26.428571428571427,31.3,24.0
2013-02-16,Changi,28.400000000000002,23.8,23.8,23.8,25.657142857142855,30.7,21.5
2013-02-23,Changi,2.914285714285714,23.8,23.8,23.8,26.657142857142855,32.5,24.1
2013-03-02,Changi,18.400000000000002,23.8,23.8,23.8,27.37142857142857,32.9,23.0
2013-03-09,Changi,0.2285714285714286,7.4,7.4,7.4,27.97142857142857,32.1,24.4
2013-03-16,Changi,0.39999999999999997,7.4,7.4,7.4,28.157142857142855,33.5,24.3
2013-03-23,Changi,5.9142857142857155,7.4,7.4,7.4,28.400000000000002,33.1,24.8
2013-03-30,Changi,1.7714285714285711,7.4,7.4,7.4,28.599999999999998,33.8,23.9
2013-04-06,Changi,11.8,7.4,7.4,7.4,28.37142857142857,34.0,23.4
2013-04-13,Changi,2.371428571428571,10.4,10.4,10.4,28.457142857142856,33.6,24.9
2013-04-20,Changi,3.857142857142857,10.4,10.4,10.4,28.37142857142857,34.9,22.1
2013-04-27,Changi,3.085714285714286,10.4,10.4,10.4,27.885714285714283,33.4,24.0
2013-05-04,Changi,2.4285714285714284,10.4,10.4,10.4,28.24285714285714,33.1,24.0
2013-05-11,Changi,14.628571428571428,11.55,11.55,11.55,27.67142857142857,32.6,23.5
2013-05-18,Changi,6.857142857142857,11.55,11.55,11.55,28.8,33.9,22.9
2013-05-25,Changi,1.2,11.55,11.55,11.55,28.5,33.4,25.2
2013-06-01,Changi,10.657142857142857,11.55,11.55,11.55,27.5,33.1,22.6
2013-06-08,Changi,6.485714285714286,5.6,5.6,5.6,27.957142857142856,33.7,22.9
2013-06-15,Changi,2.542857142857143,5.6,5.6,5.6,29.342857142857145,33.6,24.8
2013-06-22,Changi,2.314285714285714,5.6,5.6,5.6,29.985714285714288,34.5,25.8
2013-06-29,Changi,1.0285714285714287,5.6,5.6,5.6,29.071428571428573,33.7,23.0
2013-07-06,Changi,1.0285714285714287,5.6,5.6,5.6,27.842857142857145,32.4,23.8
2013-07-13,Changi,6.285714285714286,9.35,9.35,9.35,27.771428571428572,32.4,23.4
2013-07-20,Changi,7.171428571428572,9.35,9.35,9.35,27.385714285714283,31.9,23.7
2013-07-27,Changi,8.142857142857142,9.35,9.35,9.35,27.985714285714288,33.5,22.9
2013-08-03,Changi,3.8285714285714283,9.35,9.35,9.35,27.75714285714286,31.8,22.0
2013-08-10,Changi,15.114285714285716,10.8,10.8,10.8,27.557142857142857,31.3,23.2
2013-08-17,Changi,4.3428571428571425,10.8,10.8,10.8,27.614285714285717,31.5,21.6
2013-08-24,Changi,1.5142857142857142,10.8,10.8,10.8,28.25714285714286,32.0,23.9
2013-08-31,Changi,1.5142857142857142,10.8,10.8,10.8,28.25714285714286,32.8,24.6
2013-09-07,Changi,15.085714285714285,13.15,13.15,13.15,26.585714285714285,32.0,22.2
2013-09-14,Changi,1.7714285714285716,13.15,13.15,13.15,27.32857142857143,32.0,21.9
2013-09-21,Changi,7.142857142857143,13.15,13.15,13.15,27.985714285714288,32.2,22.8
2013-09-28,Changi,12.342857142857143,13.15,13.15,13.15,28.285714285714285,32.9,21.9
2013-10-05,Changi,4.142857142857143,13.15,13.15,13.15,27.728571428571428,32.3,22.2
2013-10-12,Changi,4.314285714285715,34.95,34.95,34.95,28.214285714285715,33.2,23.0
2013-10-19,Changi,25.48571428571429,34.95,34.95,34.95,28.014285714285712,32.7,20.9
2013-10-26,Changi,5.3999999999999995,34.95,34.95,34.95,27.271428571428572,32.6,23.3
2013-11-02,Changi,10.085714285714285,34.95,34.95,34.95,27.0,32.3,24.1
2013-11-09,Changi,12.742857142857144,11.0,11.0,11.0,27.185714285714287,32.6,23.2
2013-11-16,Changi,6.314285714285715,11.0,11.0,11.0,26.857142857142858,32.7,23.2
2013-11-23,Changi,2.1142857142857143,11.0,11.0,11.0,27.585714285714285,32.9,22.9
2013-11-30,Changi,12.314285714285715,11.0,11.0,11.0,27.057142857142857,32.8,23.4
2013-12-07,Changi,23.62857142857143,29.95,29.95,29.95,25.82857142857143,31.1,22.7
2013-12-14,Changi,8.628571428571428,29.95,29.95,29.95,26.857142857142858,32.0,23.1
2013-12-21,Changi,14.400000000000002,29.95,29.95,29.95,26.571428571428573,33.7,21.2
2013-12-28,Changi,0.8285714285714285,29.95,29.95,29.95,26.7,31.1,23.9
2014-01-04,Changi,5.266666666666667,29.95,29.95,29.95,26.366666666666664,29.7,24.8
2014-01-11,Changi,8.17142857142857,10.0,10.8,15.4,26.17142857142857,31.8,23.3
2014-01-18,Changi,2.6,18.2,18.2,18.2,26.271428571428572,30.3,23.7
2014-01-25,Changi,0.0,0.0,0.0,0.0,25.75714285714286,29.4,23.2
2014-02-01,Changi,0.0,0.0,0.0,0.0,26.071428571428573,31.6,22.4
2014-02-08,Changi,0.028571428571428574,0.2,0.2,0.2,26.3,31.6,22.7
2014-02-15,Changi,0.0,0.0,0.0,0.0,27.67142857142857,33.8,24.7
2014-02-22,Changi,0.0,0.0,0.0,0.0,27.75714285714286,32.6,24.9
2014-03-01,Changi,0.0,0.0,0.0,0.0,27.428571428571427,32.7,24.0
2014-03-08,Changi,0.0,0.0,0.0,0.0,27.714285714285715,33.8,23.8
2014-03-15,Changi,0.0,0.0,0.0,0.0,28.2,34.1,24.2
2014-03-22,Changi,9.37142857142857,20.4,26.2,37.8,27.157142857142855,33.6,23.6
2014-03-29,Changi,0.05714285714285715,0.4,0.4,0.4,28.5,34.4,24.2
2014-04-05,Changi,3.6285714285714286,15.2,17.2,17.4,28.385714285714283,34.2,22.8
2014-04-12,Changi,4.2,9.8,10.0,10.0,27.728571428571428,34.5,23.9
2014-04-19,Changi,4.142857142857143,21.2,26.4,28.8,28.514285714285712,33.5,23.5
2014-04-26,Changi,1.0857142857142859,2.0,3.2,5.0,28.271428571428572,34.4,24.7
2014-05-03,Changi,2.7142857142857144,8.2,10.2,13.4,28.74285714285714,33.7,24.5
2014-05-10,Changi,4.571428571428571,10.0,13.6,14.6,29.0,33.8,24.3
2014-05-17,Changi,4.914285714285714,18.2,20.2,20.2,28.785714285714285,33.6,23.0
2014-05-24,Changi,5.3999999999999995,9.4,13.4,16.4,27.614285714285717,32.6,23.2
2014-05-31,Changi,3.0285714285714285,7.8,10.4,13.0,28.614285714285717,32.7,25.0
2014-06-07,Changi,5.371428571428572,17.2,17.2,17.2,28.185714285714287,32.2,24.2
2014-06-14,Changi,3.542857142857143,16.4,18.4,18.6,29.24285714285714,33.0,23.0
2014-06-21,Changi,0.7999999999999999,2.4,3.0,3.2,29.814285714285713,33.6,23.9
2014-06-28,Changi,0.14285714285714285,0.8,1.0,1.0,29.085714285714285,33.4,25.2
2014-07-05,Changi,3.257142857142857,18.0,19.0,19.0,28.32857142857143,32.6,23.9
2014-07-12,Changi,8.285714285714286,24.6,25.6,26.4,28.12857142857143,32.1,22.6
2014-07-19,Changi,1.2,7.6,7.8,7.8,29.114285714285717,32.5,23.4
2014-07-26,Changi,0.0,0.0,0.0,0.0,29.62857142857143,33.2,26.7
2014-08-02,Changi,10.514285714285714,18.4,27.0,27.6,28.214285714285715,32.0,21.1
2014-08-09,Changi,2.8857142857142857,9.2,9.2,9.2,27.857142857142858,31.7,23.6
2014-08-16,Changi,6.514285714285714,33.6,37.8,39.8,27.24285714285714,31.6,23.5
2014-08-23,Changi,3.542857142857143,9.8,10.2,10.2,28.271428571428572,31.9,24.7
2014-08-30,Changi,19.714285714285715,36.4,41.4,42.4,26.928571428571427,31.6,22.0
2014-09-06,Changi,1.4,5.4,8.6,9.2,28.099999999999998,32.5,23.4
2014-09-13,Changi,0.9142857142857144,3.2,3.2,3.2,28.342857142857138,32.0,24.9
2014-09-20,Changi,4.514285714285714,29.8,31.4,31.4,29.014285714285712,32.9,22.4
2014-09-27,Changi,5.2,13.0,14.4,16.4,28.285714285714285,33.2,23.3
2014-10-04,Changi,0.9428571428571428,5.0,6.0,6.6,28.75714285714286,32.6,24.1
2014-10-11,Changi,0.0,0.0,0.0,0.0,28.814285714285713,32.6,25.2
2014-10-18,Changi,5.4,15.2,18.0,24.0,28.32857142857143,34.1,24.2
2014-10-25,Changi,1.5142857142857142,2.4,4.0,5.4,27.957142857142856,33.2,24.8
2014-11-01,Changi,9.914285714285713,21.0,28.2,28.2,28.342857142857145,33.5,24.0
2014-11-08,Changi,13.4,19.8,20.2,20.4,28.014285714285712,33.4,22.8
2014-11-15,Changi,12.771428571428572,43.6,60.4,63.0,27.17142857142857,32.8,22.2
2014-11-22,Changi,2.5142857142857147,6.2,7.8,8.0,27.02857142857143,32.3,24.5
2014-11-29,Changi,6.514285714285714,32.2,38.4,38.4,27.599999999999998,32.7,23.7
2014-12-06,Changi,10.37142857142857,22.2,26.6,27.2,27.37142857142857,33.5,22.4
2014-12-13,Changi,5.028571428571429,27.8,28.4,28.6,27.914285714285715,33.6,23.8
2014-12-20,Changi,5.514285714285714,16.4,17.2,17.6,27.12857142857143,32.4,24.0
2014-12-27,Changi,13.714285714285714,25.2,29.2,34.4,26.571428571428573,31.4,23.7
2015-01-03,Changi,0.8,1.2,1.8,1.8,25.95,29.9,24.2
2015-01-10,Changi,11.285714285714286,26.6,28.2,33.6,26.428571428571427,32.4,23.3
2015-01-17,Changi,0.0,0.0,0.0,0.0,27.12857142857143,31.5,24.0
2015-01-24,Changi,0.0,0.0,0.0,0.0,26.942857142857143,30.9,23.9
2015-01-31,Changi,0.0,0.0,0.0,0.0,27.071428571428573,31.8,24.0
2015-02-07,Changi,2.1142857142857143,6.4,8.2,10.8,26.25714285714286,31.2,23.6
2015-02-14,Changi,0.0,0.0,0.0,0.0,26.657142857142855,31.1,23.3
2015-02-21,Changi,0.5714285714285714,2.6,2.6,3.6,27.285714285714285,32.4,23.1
2015-02-28,Changi,0.0,0.0,0.0,0.0,27.7,33.6,24.5
2015-03-07,Changi,2.0,11.8,13.0,14.0,28.099999999999998,34.4,23.4
2015-03-14,Changi,6.571428571428571,23.6,25.2,29.8,27.685714285714287,33.7,23.7
2015-03-21,Changi,0.0,0.0,0.0,0.0,28.342857142857145,33.4,25.7
2015-03-28,Changi,0.9142857142857144,6.4,6.4,6.4,28.62857142857143,33.1,23.6
2015-04-04,Changi,6.171428571428572,12.4,13.4,13.6,27.728571428571428,33.4,24.5
2015-04-11,Changi,1.6857142857142857,8.6,8.8,8.8,28.74285714285714,33.7,25.1
2015-04-18,Changi,0.08571428571428572,0.6,0.6,0.6,29.314285714285717,34.4,25.9
2015-04-25,Changi,1.8571428571428572,4.2,6.4,8.2,28.685714285714287,34.1,24.0
2015-05-02,Changi,5.571428571428571,13.2,16.2,16.4,27.985714285714288,33.3,24.0
2015-05-09,Changi,4.771428571428571,9.2,11.6,18.0,28.24285714285714,33.2,24.0
2015-05-16,Changi,4.2,16.4,16.6,16.6,28.957142857142856,34.2,24.9
2015-05-23,Changi,1.1142857142857143,1.8,2.8,4.4,28.785714285714285,33.0,25.3
2015-05-30,Changi,0.2857142857142857,1.0,1.4,1.4,29.071428571428573,34.2,25.4
2015-06-06,Changi,2.4,7.6,9.2,12.8,29.214285714285715,34.3,24.9
2015-06-13,Changi,6.942857142857142,17.2,18.6,19.4,28.157142857142855,32.5,24.7
2015-06-20,Changi,2.5142857142857147,5.2,8.6,9.2,28.47142857142857,32.4,24.2
2015-06-27,Changi,0.0,0.0,0.0,0.0,29.97142857142857,33.2,28.0
2015-07-04,Changi,5.971428571428571,15.4,20.4,22.2,29.057142857142857,32.8,22.1
2015-07-11,Changi,4.857142857142857,17.4,19.8,20.0,29.114285714285717,32.4,23.6
2015-07-18,Changi,6.771428571428571,41.6,45.0,45.6,29.228571428571428,32.6,24.2
2015-07-25,Changi,0.08571428571428573,0.4,0.4,0.4,29.442857142857143,32.7,26.4
2015-08-01,Changi,1.0571428571428572,2.8,2.8,2.8,28.32857142857143,32.7,24.1
2015-08-08,Changi,11.771428571428572,26.6,28.0,28.2,27.585714285714285,32.1,22.6
2015-08-15,Changi,11.200000000000001,29.4,47.8,57.6,28.242857142857144,32.3,22.7
2015-08-22,Changi,0.0,0.0,0.0,0.0,28.885714285714283,32.7,26.2
2015-08-29,Changi,3.1714285714285713,19.0,22.2,22.2,28.928571428571427,33.1,24.4
2015-09-05,Changi,0.2285714285714286,1.2,1.2,1.2,29.2,33.2,25.9
2015-09-12,Changi,2.4857142857142853,13.2,16.8,17.4,28.485714285714288,32.7,23.6
2015-09-19,Changi,4.971428571428571,11.6,15.2,16.4,28.385714285714283,32.8,23.1
2015-09-26,Changi,0.6857142857142857,4.6,4.6,4.6,28.942857142857143,32.6,26.0
2015-10-03,Changi,4.685714285714285,19.2,19.6,19.6,28.314285714285713,32.3,23.5
2015-10-10,Changi,2.942857142857143,17.4,17.4,17.4,28.442857142857143,33.0,23.4
2015-10-17,Changi,1.1142857142857143,5.4,7.8,7.8,29.114285714285717,33.4,23.9
2015-10-24,Changi,0.08571428571428572,0.6,0.6,0.8,29.32857142857143,33.5,26.4
